Artist,Album,Plays
Green Day,21st Century Breakdown,5
Green Day,21st Century Breakdown,5
Green Day,21st Century Breakdown,5
Green Day,21st Century Breakdown,5
Green Day,21st Century Breakdown,5
Green Day,21st Century Breakdown,6
Green Day,21st Century Breakdown,5
Green Day,21st Century Breakdown,5
Green Day,21st Century Breakdown,10
Green Day,21st Century Breakdown,6
Green Day,21st Century Breakdown,4
Green Day,21st Century Breakdown,4
Green Day,21st Century Breakdown,4
Green Day,21st Century Breakdown,4
Green Day,21st Century Breakdown,4
Green Day,21st Century Breakdown,4
Green Day,21st Century Breakdown,4
Green Day,21st Century Breakdown,4
Britney Spears,3 Single,8
The Big Pink,A Brief History Of Love,2
Eau Claire Memorial Jazz 1 Featuring Justin Vernon,A Decade With Duke,1
Eau Claire Memorial Jazz 1 Featuring Justin Vernon,A Decade With Duke,1
Eau Claire Memorial Jazz 1 Featuring Justin Vernon,A Decade With Duke,1
Eau Claire Memorial Jazz 1 Featuring Justin Vernon,A Decade With Duke,1
Eau Claire Memorial Jazz 1 Featuring Justin Vernon,A Decade With Duke,1
Eau Claire Memorial Jazz 1 Featuring Justin Vernon,A Decade With Duke,1
Eau Claire Memorial Jazz 1 Featuring Justin Vernon,A Decade With Duke,1
Eau Claire Memorial Jazz 1 Featuring Justin Vernon,A Decade With Duke,1
Jonny Craig,A Dream Is A Question You Don't Know How To Answer,5
Jonny Craig,A Dream Is A Question You Don't Know How To Answer,7
Jonny Craig,A Dream Is A Question You Don't Know How To Answer,7
Jonny Craig,A Dream Is A Question You Don't Know How To Answer,5
Jonny Craig,A Dream Is A Question You Don't Know How To Answer,6
Jonny Craig,A Dream Is A Question You Don't Know How To Answer,7
Jonny Craig,A Dream Is A Question You Don't Know How To Answer,6
Jonny Craig,A Dream Is A Question You Don't Know How To Answer,9
Jonny Craig,A Dream Is A Question You Don't Know How To Answer,6
Jonny Craig,A Dream Is A Question You Don't Know How To Answer,6
Ginuwine,A Man's Thoughts,2
Ginuwine,A Man's Thoughts,2
Stars Of Track And Field,A Time For Lions,4
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,1
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,1
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,1
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,1
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,2
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,1
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,1
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,3
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,1
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,2
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,1
Hillsong United,a_CROSS//the_EARTH: Tear Down The Walls,1
Paper Route,Absence,19
Paper Route,Absence,12
Paper Route,Absence,13
Paper Route,Absence,25
Paper Route,Absence,14
Paper Route,Absence,40
Paper Route,Absence,12
Paper Route,Absence,6
Paper Route,Absence,49
Paper Route,Absence,22
Paper Route,Absence,40
Paper Route,Absence,29
The Dear Hunter,Act III: Life And Death,10
The Dear Hunter,Act III: Life And Death,10
The Dear Hunter,Act III: Life And Death,9
The Dear Hunter,Act III: Life And Death,10
The Dear Hunter,Act III: Life And Death,9
The Dear Hunter,Act III: Life And Death,11
The Dear Hunter,Act III: Life And Death,9
The Dear Hunter,Act III: Life And Death,11
The Dear Hunter,Act III: Life And Death,13
The Dear Hunter,Act III: Life And Death,7
The Dear Hunter,Act III: Life And Death,9
The Dear Hunter,Act III: Life And Death,18
The Dear Hunter,Act III: Life And Death,13
The Dear Hunter,Act III: Life And Death,10
St. Vincent,Actor,6
St. Vincent,Actor,7
St. Vincent,Actor,12
St. Vincent,Actor,6
St. Vincent,Actor,7
St. Vincent,Actor,
St. Vincent,Actor,6
St. Vincent,Actor,8
St. Vincent,Actor,5
St. Vincent,Actor,13
St. Vincent,Actor,8
fun.,Aim And Ignite,2
Girls,Album,4
Kelly Clarkson,All I Ever Wanted,5
Kelly Clarkson,All I Ever Wanted,4
Kelly Clarkson,All I Ever Wanted,4
Kelly Clarkson,All I Ever Wanted,6
Kelly Clarkson,All I Ever Wanted,5
Kelly Clarkson,All I Ever Wanted,4
Kelly Clarkson,All I Ever Wanted,4
Kelly Clarkson,All I Ever Wanted,4
Kelly Clarkson,All I Ever Wanted,11
Kelly Clarkson,All I Ever Wanted,5
Kelly Clarkson,All I Ever Wanted,10
Kelly Clarkson,All I Ever Wanted,6
Kelly Clarkson,All I Ever Wanted,9
Kelly Clarkson,All I Ever Wanted,9
Jay Sean,All Or Nothing,4
Jay Sean,All Or Nothing,15
Adam Lambert,American Idol 8: Top 4,1
Adam Lambert,American Idol 8: Top 4,1
Adam Lambert,American Idol 8: Top 4,1
Adam Lambert,American Idol 8: Top 4,1
Adam Lambert,American Idol 8: Top 4,1
