Artist,Album,Genre,Plays,Rating
A Genuine Freakshow,Oftentimes,Alternative : Baroque Pop,5,3
A Genuine Freakshow,Oftentimes,Alternative : Baroque Pop,5,
A Genuine Freakshow,Oftentimes,Alternative : Baroque Pop,6,
A Genuine Freakshow,Oftentimes,Alternative : Baroque Pop,6,
A Genuine Freakshow,Oftentimes,Alternative : Baroque Pop,6,
A Genuine Freakshow,Oftentimes,Alternative : Baroque Pop,5,
A Genuine Freakshow,Oftentimes,Alternative : Baroque Pop,5,
A Genuine Freakshow,Oftentimes,Alternative : Baroque Pop,6,
A Genuine Freakshow,Oftentimes,Alternative : Baroque Pop,5,
Alter Bridge,AB III,Rock : Post-Grunge,6,3
Alter Bridge,AB III,Rock : Post-Grunge,8,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,4,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,4,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Alter Bridge,AB III,Rock : Post-Grunge,5,
Arcade Fire,The Suburbs,Rock : Indie Rock,18,4
Arcade Fire,The Suburbs,Rock : Indie Rock,15,
Arcade Fire,The Suburbs,Rock : Indie Rock,14,
Arcade Fire,The Suburbs,Rock : Indie Rock,10,
Arcade Fire,The Suburbs,Rock : Indie Rock,9,
Arcade Fire,The Suburbs,Rock : Indie Rock,9,
Arcade Fire,The Suburbs,Rock : Indie Rock,10,
Arcade Fire,The Suburbs,Rock : Indie Rock,8,
Arcade Fire,The Suburbs,Rock : Indie Rock,16,
Arcade Fire,The Suburbs,Rock : Indie Rock,7,
Arcade Fire,The Suburbs,Rock : Indie Rock,9,
Arcade Fire,The Suburbs,Rock : Indie Rock,9,
Arcade Fire,The Suburbs,Rock : Indie Rock,16,
Arcade Fire,The Suburbs,Rock : Indie Rock,8,
Arcade Fire,The Suburbs,Rock : Indie Rock,11,
Arcade Fire,The Suburbs,Rock : Indie Rock,9,
Band Of Horses,Infinite Arms,Rock : Indie Rock,6,3.5
Band Of Horses,Infinite Arms,Rock : Indie Rock,6,
Band Of Horses,Infinite Arms,Rock : Indie Rock,6,
Band Of Horses,Infinite Arms,Rock : Indie Rock,6,
Band Of Horses,Infinite Arms,Rock : Indie Rock,7,
Band Of Horses,Infinite Arms,Rock : Indie Rock,6,
Band Of Horses,Infinite Arms,Rock : Indie Rock,6,
Band Of Horses,Infinite Arms,Rock : Indie Rock,6,
Band Of Horses,Infinite Arms,Rock : Indie Rock,7,
Band Of Horses,Infinite Arms,Rock : Indie Rock,6,
Band Of Horses,Infinite Arms,Rock : Indie Rock,6,
Band Of Horses,Infinite Arms,Rock : Indie Rock,6,
Beach House,Daytrotter Sessions,Alternative : Dream Pop,1,3
Beach House,Daytrotter Sessions,Alternative : Dream Pop,1,
Beach House,Daytrotter Sessions,Alternative : Dream Pop,1,
Beach House,Daytrotter Sessions,Alternative : Dream Pop,1,
Beach House,Daytrotter Sessions,Alternative : Dream Pop,1,
Beach House,Teen Dream,Alternative : Dream Pop,8,4
Beach House,Teen Dream,Alternative : Dream Pop,8,
Beach House,Teen Dream,Alternative : Dream Pop,17,
Beach House,Teen Dream,Alternative : Dream Pop,14,
Beach House,Teen Dream,Alternative : Dream Pop,8,
Beach House,Teen Dream,Alternative : Dream Pop,8,
Beach House,Teen Dream,Alternative : Dream Pop,8,
Beach House,Teen Dream,Alternative : Dream Pop,14,
Beach House,Teen Dream,Alternative : Dream Pop,8,
Beach House,Teen Dream,Alternative : Dream Pop,8,
Best Coast,Crazy For You,Alternative : Twee Pop,5,3.5
Best Coast,Crazy For You,Alternative : Twee Pop,5,
Best Coast,Crazy For You,Alternative : Twee Pop,5,
Best Coast,Crazy For You,Alternative : Twee Pop,5,
Best Coast,Crazy For You,Alternative : Twee Pop,5,
Best Coast,Crazy For You,Alternative : Twee Pop,9,
Best Coast,Crazy For You,Alternative : Twee Pop,6,
Best Coast,Crazy For You,Alternative : Twee Pop,5,
