userID,albumID,artist,title,rating,plays
1,MW0002165205,311,Universal Pulse,2.5,8
1,MW0002403649,2 Chainz,Based on a T.R.U. Story,2.5,3
1,MW0002069779,A Genuine Freakshow,Oftentimes,3,5
1,,A Lion Named Roar,Foreign Land,3.5,5
1,MW0002460483,A$AP Rocky,Long.Live.A$AP,3.5,6
1,,Active Child,Daytrotter Sessions,2,1
1,MW0002580105,Active Child,Rapor,4,6.5
1,MW0002171730,Active Child,You Are All I See,4,7
1,MW0002080092,Adele,21,3.5,5
1,,AgesandAges,Alright You Restless,1.5,1
1,MW0002565325,Agnes Obel,Aventine,3.5,5
1,MW0002285612,Alabama Shakes,Alabama Shakes EP,1.5,1.5
1,MW0002387721,Alberta Cross,Songs of Patience,3,5
1,MW0002338832,Alt-J,An Awesome Wave,4,5
1,MW0002544167,Alt-J,iTunes Session,3,1
1,MW0002055233,Alter Bridge,AB III,3,5
1,MW0002569317,Alter Bridge,Fortress,3,5
1,MW0002293921,Andrew Bird,Break It Yourself,2.5,5
1,MW0002086389,Anna Calvi,Anna Calvi,1.5,1
1,MW0002252866,Anthony Hamilton,Back to Love,2.5,5
1,MW0002491083,Apollo Run,"Here Be Dragons, Vol. III",3.5,5
1,MW0002181848,Apparat,The Devil's Walk,2.5,4
1,MW0002581228,Arcade Fire,Reflektor,3,6
1,MW0002010991,Arcade Fire,The Suburbs,4,9.5
1,MW0002557264,Arctic Monkeys,AM,4,6
1,MW0002565183,Ariana Grande,Yours Truly,3,4
1,,Ariez Onasis,The Heartbreak Kid,2.5,3
1,MW0002477358,Atoms for Peace,Amok,3.5,10
1,MW0002293928,AU,Both Lights,1,1
1,MW0002558738,Au Revoir Simone,Move in Spectrums,3,5
1,MW0002468962,Autre Ne Veut,Anxiety,3.5,8
1,MW0002104668,Awesome New Republic,Stay Kids,3,5.5
1,MW0002379145,Azealia Banks,1991,2,1
1,MW0002401710,Azure Ray,As Above So Below,3,7.5
1,MW0002303717,B.o.B,Strange Clouds,3,5
1,MW0002278898,Bahamas,Barchords,3,5
1,MW0001980479,Band of Horses,Infinite Arms,3.5,6
1,,Banks,Fall Over,3,6
1,MW0002579541,Banks,London,3,6
1,MW0002377963,Bassnectar,Vava Voom [Single],3,2
1,MW0002590120,Bastille,All This Bad Blood,3,6
1,MW0002401480,Bat for Lashes,The Haunted Man,3,8
1,MW0002117492,Battles,Gloss Drop,1,1
1,MW0000556353,Beach House,Beach House,3,1
1,MW0002334053,Beach House,Bloom,4,11
1,MW0001950645,Beach House,Teen Dream,4,8
1,MW0002544994,Bear Mountain,XO,2.5,5
1,MW0000671942,Beastie Boys,Beastie Boys Anthology: The Sounds of Science,3,7
1,MW0002168023,Beirut,The Rip Tide,4,8
1,MW0002203682,Ben Howard,Every Kingdom,3.5,5
1,MW0002448132,Ben Howard,The Burgh Island,3.5,6
1,MW0002189112,Ben Howard,The Old Pine,4,5
1,MW0002005485,Best Coast,Crazy for You,3.5,5
1,MW0002580299,Best Coast,Fade Away,3.5,6
1,MW0002334705,Best Coast,The Only Place,3,6
1,,Betty Who,The Movement EP,4,6
1,,Beyonce,4,3,5
1,MW0002021953,Beyonce,Beyonce,3.5,11
1,MW0002282345,Bhi Bhiman,Bhiman,3,5
1,MW0002505025,Bibio,Silver Wilkinson,3.5,7
1,MW0001996458,Big Boi,Sir Lucious Left Foot...The Son of Chico Dusty,3,8
1,MW0002477322,Big Sean,Hall of Fame,2.5,5
1,,Birds & Batteries,Stray Light,1.5,1
1,MW0002440705,Bjork,Bastards,2,1
1,MW0002165493,Bjork,Biophilia,2,6
1,MW0002191512,Blind Pilot,We Are the Tide,3,4.5
1,MW0002490285,Blondfire,Where The Kids Are EP,3,5
1,MW0002304170,Blood Red Shoes,In Time to Voices,2.5,5
1,MW0000237765,BMX Bandits,Theme Park,3,7
1,MW0002543577,Boards of Canada,Tomorrow's Harvest,2.5,5
1,MW0002176740,Bombay Bicycle Club,A Different Kind of Fix,3,6.5
1,MW0002141165,Bon Iver,Bon Iver,5,19
1,,Bon Iver,"Bon Iver, Bon Iver: Stems Project",3,2
1,,Born Gold,Bodysongs,1.5,2
1,MW0002289390,Bowerbirds,The Clearing,2.5,5
1,MW0002564599,Boy & Bear,Harlequin Dream,3.5,6
1,MW0002204054,Boy & Bear,Moonfire,3.5,6
1,MW0002093365,Braids,Native Speaker,1,1
1,MW0002023369,Brandon Boyd,The Wild Trapeze,3,5.5
1,MW0002605243,Bridget Kelly,...Cut To Bridget Kelly,2.5,1
1,MW0002110484,Britney Spears,Femme Fatale,3,5
1,MW0002603994,Broken Bells,After the Disco,3,5
1,MW0001974333,Broken Social Scene,Forgiveness Rock Record,2.5,5
1,,Brother Leather,Meat Mural,3,5
1,MW0002438815,Bruno Mars,Unorthodox Jukebox,3.5,7
1,MW0002082656,Cage the Elephant,Thank You Happy Birthday,3,5
1,MW0002410901,California Wives,Art History,4,7
1,MW0002519466,Capital Cities,In a Tidal Wave of Mystery,3.5,5
1,MW0001968014,Caribou,Swim,3,5
1,MW0002489788,Caveman,Caveman,3.5,5
1,MW0002231890,Caveman,Coco Beware,3.5,6.5
1,,Caveman,Daytrotter Sessions,,1
1,MW0002511968,Cayucas,Bigfoot,3.5,7.5
1,MW0002052848,Cee Lo Green,The Lady Killer,3.5,4
1,MW0002223499,Chairlift,Something,3,6
1,MW0002578486,Cherub,100 Bottles,3,4
1,MW0002381127,Cherub,Mom & Dad,3,7
1,MW0002586630,Childish Gambino,Because the Internet,4,7
1,MW0000646188,Chris Brown,Chris Brown,3.5,6
1,MW0002329610,Chris Brown,Fortune,3,5
1,MW0001989957,Christina Aguilera,Bionic,2.5,5
1,MW0002427099,Christina Aguilera,Lotus,2.5,3
1,MW0002293930,Chromatics,Kill for Love,3.5,5
1,MW0002507154,Chvrches,Recover,3,5
1,MW0002555667,Chvrches,The Bones of What You Believe,3,6
1,MW0002014292,Ciara,Basic Instinct,2.5,8
1,MW0002546899,Ciara,Ciara,3.5,7
1,MW0002117564,City and Colour,Little Hell,4,8
1,MW0002531978,City and Colour,The Hurry and the Harm,4,10
1,MW0002182715,Class Actress,Rapprocher,3,5
1,MW0002507874,Cloud Boat,Book of Hours,3,6
1,MW0002417749,Coheed and Cambria,The Afterman: Ascension,4,10
1,MW0002473212,Coheed and Cambria,The Afterman: Descension,3.5,9.5
1,MW0001967845,Coheed and Cambria,Year of the Black Rainbow,3,14.5
1,MW0002206149,Coldplay,Mylo Xyloto,3,8
1,MW0002502445,Colin Stetson,"New History Warfare, Vol. 3: To See More Light",2,2
1,MW0002566879,College,Heritage,2.5,2
1,MW0002280305,College,Northern Council,1.5,1
1,MW0002387701,Communist Daughter,Lions and Lambs,3,5
1,MW0002132655,Company of Thieves,Running From a Gamble,3.5,6
1,MW0002304130,Conduits,Conduits,2.5,5
1,MW0001954586,Corinne Bailey Rae,The Sea,3,8
1,MW0002122892,Cults,Cults,2.5,5
1,MW0002578640,Cut Copy,Free Your Mind,3.5,7
1,MW0002080093,Cut Copy,Zonoscope,3,6
1,,CyHi Da Prynce,Royal Flush 2,2.5,1
1,MW0002521619,Daft Punk,Random Access Memories,3,4
1,MW0002406704,Daley,Alone Together,4,6
1,,Daley,Songs That Remind Me Of You,3,5
1,MW0002390979,Daley,Those Who Wait,3.5,5
1,MW0002284285,Damien Jurado,Maraqopa,3.5,6
1,MW0002348295,Dana Buoy,Summer Bodies,3,5
1,MW0002398999,Daniel Bedingfield,Stop The Traffik - Secret Fear,2,4
1,,Danielle Bennett,Resurrection,3.5,3
1,MW0002493763,Daughter,If You Leave,4,8
1,MW0002401535,Dave Matthews,Away from the World,3,5
1,MW0001956251,Dave Matthews,Live in Las Vegas,2.5,1
1,,Dawes,Daytrotter Sessions (2010),2.5,1
1,,Dawes,Daytrotter Sessions (2011),3,1
1,MW0002139749,Dawes,Nothing Is Wrong,4,11
1,MW0002491054,Dawes,Stories Don't End,3.5,9
1,MW0002449362,Dawn Richard,Goldenheart,2.5,3
1,,De La Montana,Postmodern Whirled,1,1.5
1,MW0002537857,Deafheaven,Sunbather,1.5,2
1,MW0002115023,Death Cab for Cutie,Codes and Keys,3,6
1,MW0002022940,Deerhunter,Halcyon Digest,1,3
1,MW0002285588,Delta Spirit,Delta Spirit,3.5,5
1,MW0001989713,Delta Spirit,History from Below,4,6
1,MW0002421480,Deptford Goth,Life After Defo,3,5
1,MW0002086188,Destroyer,Kaputt,2,5
