albumID,similarity
MW0000823433,"[(0.001034757504578802, 'MW0000444789'), (0.001022641277892541, 'MW0002020915'), (0.0009725261366399222, 'MW0001784043'), (0.0009663983300636856, 'MW0000819818'), (0.0009489736849597159, 'MW0001792357'), (0.0009398496240601503, 'MW0002479086'), (0.000939717145139313, 'MW0002190231'), (0.0009205983889528193, 'MW0002052709'), (0.000917953331252639, 'MW0002537855'), (0.0009000171003249061, 'MW0000363579')]"
MW0001935991,"[(0.0014018757096995777, 'MW0000809691'), (0.0013529602770862648, 'MW0002485837'), (0.0013529602770862648, 'MW0002294097'), (0.0012522697389017595, 'MW0002605130'), (0.0012404331592592132, 'MW0002490285'), (0.0012296493040184937, 'MW0002563622'), (0.0012296493040184937, 'MW0002055042'), (0.0011925773982731478, 'MW0002357960'), (0.0011914123001405866, 'MW0002590120'), (0.0011812372278724736, 'MW0000825256')]"
MW0002473212,"[(0.058823529411764705, 'MW0002417749'), (0.004149377593360996, 'MW0001967845'), (0.000931098696461825, 'MW0000811504'), (0.0008104909954450406, 'MW0002628656'), (0.0008104909954450406, 'MW0002088324'), (0.0007988368934830887, 'MW0002562501'), (0.0007988368934830887, 'MW0002346806'), (0.0007943947506394878, 'MW0001610447'), (0.0007880220646178094, 'MW0002190231'), (0.0007819953393077779, 'MW0001792357')]"
MW0002572983,"[(0.06666666666666667, 'MW0002222795'), (0.005025125628140704, 'MW0001996454'), (0.002840909090909091, 'MW0000827628'), (0.0009412739201234953, 'MW0002120003'), (0.0006351101598572272, 'MW0001787432'), (0.0006342481305536353, 'MW0002552345'), (0.0006318396643667704, 'MW0002484010'), (0.0006159531875577456, 'MW0002431606'), (0.0006145752670329535, 'MW0001965056'), (0.0006095999804928006, 'MW0001610447')]"
MW0000807674,"[(0.0008722958827634332, 'MW0000806459'), (0.0008697542944118286, 'MW0002590120'), (0.0008652165637058956, 'MW0000819818'), (0.0008278556881964337, 'MW0001747196'), (0.0008145710468867094, 'MW0002190231'), (0.000811187903565982, 'MW0002544167'), (0.0008092448127407503, 'MW0002503286'), (0.0008092448127407503, 'MW0002456525'), (0.0008092448127407503, 'MW0002413767'), (0.0007995011113065446, 'MW0002558478')]"
MW0002143946,"[(0.0011381225530365108, 'MW0002377963'), (0.0010394470141884518, 'MW0002427366'), (0.0010036532980047372, 'MW0001960596'), (0.0009785118791342127, 'MW0002022516'), (0.0009782438566285803, 'MW0000834629'), (0.0009556940250009556, 'MW0002628656'), (0.0009556940250009556, 'MW0002088324'), (0.000953943602854199, 'MW0002232638'), (0.0009501639032733146, 'MW0002348295'), (0.0009333930704898446, 'MW0001610447')]"
MW0000806459,"[(0.0013078220838837085, 'MW0002336594'), (0.001232832803215228, 'MW0002355523'), (0.0012104046382705738, 'MW0002565325'), (0.001207802403526783, 'MW0002484696'), (0.0011959433601224647, 'MW0002558478'), (0.0011941724385001193, 'MW0002278411'), (0.0011897255303201552, 'MW0002110738'), (0.0011869013566282506, 'MW0002010832'), (0.0011697685028132935, 'MW0002615954'), (0.0011674877997524926, 'MW0002190231')]"
MW0000833034,"[(0.0008406681630559969, 'MW0002066164'), (0.0008316284949187499, 'MW0002033205'), (0.0008253821519363466, 'MW0002406704'), (0.0008142858306122614, 'MW0002581468'), (0.0008025231327293008, 'MW0002605243'), (0.0007896336889317046, 'MW0001368971'), (0.0007858175645942038, 'MW0002390979'), (0.0007803903512536972, 'MW0002431606'), (0.0007589383969703179, 'MW0000799270'), (0.0007584376185058781, 'MW0000819364')]"
MW0000814310,"[(0.0006639136381139542, 'MW0002484696'), (0.0006636448703569747, 'MW0002355523'), (0.0006593652949670649, 'MW0002278411'), (0.0006579077218629315, 'MW0002282345'), (0.0006456361452939581, 'MW0002102148'), (0.000624231415070195, 'MW0002628656'), (0.000624231415070195, 'MW0002088324'), (0.0006237135907191417, 'MW0002336594'), (0.0006231461402328073, 'MW0002448132'), (0.0006214036265115645, 'MW0002387701')]"
MW0002348295,"[(0.006501950585175552, 'MW0002563308'), (0.006240639041437842, 'MW0000823569'), (0.006073120369245718, 'MW0002534574'), (0.006073120369245718, 'MW0002534050'), (0.005927682276229995, 'MW0002427366'), (0.005398402072986395, 'MW0002010832'), (0.005272593061267532, 'MW0002527254'), (0.005272593061267532, 'MW0002498911'), (0.005272593061267532, 'MW0002413337'), (0.005272593061267531, 'MW0001695064')]"
